_id,_season,_week,_season_type,_start_date,_start_time_tbd,_neutral_site,_conference_game,_attendance,_venue_id,_venue,_home_id,_home_team,_home_conference,_home_points,_home_line_scores,_home_post_win_prob,_away_id,_away_team,_away_conference,_away_points,_away_line_scores,_away_post_win_prob,_excitement_index,_highlights,_notes,discriminator
401241303,2020,4,regular,2020-09-26T22:00:00.000Z,False,False,False,,3615,Alumni Stadium,103,Boston College,ACC,24,"[0, 7, 7, 10]",0.2571494898611746,326,Texas State,Sun Belt,21,"[7, 7, 7, 0]",0.7428505101388254,8.0038186235,https://www.youtube.com/watch?v=rhCpLJOUlb4,,
401234734,2020,4,regular,2020-09-26T23:00:00.000Z,False,False,False,,3815,M. M. Roberts Stadium,2572,Southern Mississippi,Conference USA,24,"[14, 7, 3, 0]",0.005524057949419916,2655,Tulane,American Athletic,66,"[7, 24, 21, 14]",0.9944759420505801,3.823246856,https://www.youtube.com/watch?v=uDs0UuW0Qp4,,
401236951,2020,4,regular,2020-09-26T23:00:00.000Z,False,False,True,,3838,Faurot Field,142,Missouri,SEC,19,"[0, 3, 3, 13]",0.04271030974759434,333,Alabama,SEC,38,"[14, 14, 7, 3]",0.9572896902524056,0.4675226869,https://www.youtube.com/watch?v=8OTaT209zFc,,
401232157,2020,4,regular,2020-09-26T23:00:00.000Z,False,False,False,,3776,Joe Aillet Stadium,2348,Louisiana Tech,Conference USA,66,"[17, 21, 14, 14]",0.9195596597311028,2277,Houston Baptist,,38,"[14, 3, 7, 14]",0.08044034026889724,2.0386889855,https://www.youtube.com/watch?v=MWH3VBfaYn0,,
401212485,2020,4,regular,2020-09-26T23:00:00.000Z,False,False,False,,3735,Gerald J. Ford Stadium,2567,SMU,American Athletic,50,"[22, 7, 7, 14]",0.9974626428189177,2617,Stephen F. Austin,,7,"[0, 0, 7, 0]",0.002537357181082278,1.0793084884,https://www.youtube.com/watch?v=1Ylmt4sel60,,
401235993,2020,4,regular,2020-09-26T23:30:00.000Z,False,False,True,,4727,McLane Stadium,239,Baylor,Big 12,47,"[7, 10, 14, 16]",0.8413865873815041,2305,Kansas,Big 12,14,"[7, 0, 0, 7]",0.15861341261849593,3.1473599929,https://www.youtube.com/watch?v=Lda4HgUbKCo,,
401234593,2020,4,regular,2020-09-26T23:30:00.000Z,False,False,True,,3948,Hard Rock Stadium,2390,Miami,ACC,52,"[14, 24, 0, 14]",0.9988778319743313,52,Florida State,ACC,10,"[3, 0, 7, 0]",0.0011221680256686684,1.9746740462,https://www.youtube.com/watch?v=1_J9bRppDr8,,
401237037,2020,4,regular,2020-09-26T23:30:00.000Z,False,False,True,,3795,Kyle Field,245,Texas A&M,SEC,17,"[7, 0, 7, 3]",0.9952237794584813,238,Vanderbilt,SEC,12,"[3, 2, 7, 0]",0.0047762205415187164,2.7808650362,https://www.youtube.com/watch?v=sGUDgOOQAl4,,
401237036,2020,4,regular,2020-09-26T23:30:00.000Z,False,False,True,,3994,Williams-Brice Stadium,2579,South Carolina,SEC,27,"[7, 0, 14, 6]",0.2002121574726512,2633,Tennessee,SEC,31,"[7, 7, 10, 7]",0.7997878425273488,7.2541515894,https://www.youtube.com/watch?v=r5dPu1GdcQ8,,
401234566,2020,4,regular,2020-09-27T00:00:00.000Z,False,False,True,,3799,Lane Stadium,259,Virginia Tech,ACC,45,"[17, 14, 6, 8]",0.9892881068823481,152,NC State,ACC,24,"[0, 10, 7, 7]",0.01071189311765186,2.5416915298,https://www.youtube.com/watch?v=w2rquG1YqXY,,
