_configuration,_id,_season,_week,_season_type,_start_date,_start_time_tbd,_neutral_site,_conference_game,_attendance,_venue_id,_venue,_home_id,_home_team,_home_conference,_home_points,_home_line_scores,_home_post_win_prob,_away_id,_away_team,_away_conference,_away_points,_away_line_scores,_away_post_win_prob,_excitement_index,_highlights,_notes,discriminator
<cfbd.configuration.Configuration object at 0x00000231BF3FE820>,322450099,2012,1,regular,2012-09-01T23:00:00.000Z,,False,False,92059,3958,Tiger Stadium,99,LSU,SEC,41,"[14, 10, 3, 14]",0.9999836703532218,249,North Texas,Sun Belt,14,"[0, 7, 0, 7]",1.6329646778223683e-05,1.91080954676859,,,
<cfbd.configuration.Configuration object at 0x00000231BF3FEE20>,322450309,2012,1,regular,2012-09-01T23:00:00.000Z,,False,False,25803,3666,Cajun Field,309,Louisiana,Sun Belt,40,"[13, 27, 0, 0]",,2320,Lamar,,0,"[0, 0, 0, 0]",,,,,
<cfbd.configuration.Configuration object at 0x00000231BF403460>,322452305,2012,1,regular,2012-09-01T23:00:00.000Z,,False,False,46601,3833,Memorial Stadium,2305,Kansas,Big 12,31,"[7, 3, 14, 7]",0.9623230818696,2571,South Dakota State,,17,"[7, 0, 0, 10]",0.03767691813039997,5.37641915713489,,,
<cfbd.configuration.Configuration object at 0x00000231BF403A60>,322450235,2012,1,regular,2012-09-01T23:00:00.000Z,,False,False,39076,3805,Liberty Bowl Memorial Stadium,235,Memphis,Conference USA,17,"[7, 0, 3, 7]",0.9108548553089837,2630,UT Martin,,20,"[0, 7, 7, 6]",0.08914514469101631,6.87465082622121,,,
<cfbd.configuration.Configuration object at 0x00000231BF40A0A0>,322450098,2012,1,regular,2012-09-01T23:00:00.000Z,,False,False,16327,3796,Houchens Industries-L. T. Smith Stadium,98,Western Kentucky,Sun Belt,49,"[14, 21, 7, 7]",0.999955638881958,2046,Austin Peay,,10,"[0, 0, 7, 3]",4.436111804195786e-05,1.62084343711946,,,
<cfbd.configuration.Configuration object at 0x00000231BF40A6A0>,322450142,2012,1,regular,2012-09-01T23:00:00.000Z,,False,False,62173,3838,Faurot Field,142,Missouri,SEC,62,"[28, 0, 20, 14]",0.9988251449759377,2545,Southeastern Louisiana,,10,"[0, 3, 0, 7]",0.0011748550240623379,3.04275764900459,,,
<cfbd.configuration.Configuration object at 0x00000231BF40ACA0>,322450150,2012,1,regular,2012-09-01T23:00:00.000Z,,False,False,31117,3982,Wallace Wade Stadium,150,Duke,ACC,46,"[7, 30, 7, 2]",0.9236040876294557,2229,Florida International,Sun Belt,26,"[7, 7, 0, 12]",0.07639591237054433,2.8901487764253,,,
<cfbd.configuration.Configuration object at 0x00000231BF40F2E0>,322450145,2012,1,regular,2012-09-01T23:00:00.000Z,,False,False,50544,3974,Vaught-Hemingway Stadium,145,Ole Miss,SEC,49,"[14, 0, 14, 21]",0.908716779460351,2110,Central Arkansas,,27,"[7, 13, 0, 7]",0.09128322053964899,8.66029208596009,,,
<cfbd.configuration.Configuration object at 0x00000231BF40F8E0>,322450197,2012,1,regular,2012-09-01T23:00:00.000Z,,False,False,55784,3646,Boone Pickens Stadium,197,Oklahoma State,Big 12,84,"[35, 14, 21, 14]",0.9999903434301336,2542,Savannah State,,0,"[0, 0, 0, 0]",9.656569866400844e-06,1.4418751633513,,,
<cfbd.configuration.Configuration object at 0x00000231BF40FEE0>,322452306,2012,1,regular,2012-09-01T23:10:00.000Z,,False,False,50007,3636,Bill Snyder Family Football Stadium,2306,Kansas State,Big 12,51,"[3, 6, 7, 35]",0.7958522157004603,2623,Missouri State,,9,"[3, 3, 3, 0]",0.20414778429953973,3.53362771859906,,,
